Name,Typ,land,Branche,Stage,Linkedin,Twitter
Tyler Crown 👑,VC - Small fund,,"AI/ML, Fintech, SaaS","Pre-Seed, Seed",,https://twitter.com/rtylercrown
Umesh Khanna 🇨🇦🇺🇸,Angel,,AI/ML,"Pre-Seed, Seed",https://www.linkedin.com/in/umeshkhanna/,https://twitter.com/forwarddeploy
Vedant Khanna,Angel,,Technology,"Pre-Seed, Seed",https://www.linkedin.com/in/vedant-khanna,https://twitter.com/vedant__khanna
Vidu Shanmugarajah,VC - Small fund,,Healthcare,"Pre-Seed, Seed",https://linkedin.com/in/vidurajah-b8,https://twitter.com/vidushanmug
Viraj Parekh,Angel,,Data,"Pre-Seed, Seed",https://www.linkedin.com/in/viraj-parekh-46114689/,https://twitter.com/viraj_parekh_
William Genesen,VC - Small fund,,Technology,Growth,https://www.linkedin.com/in/william-genesen,https://twitter.com/wgenesen
list d-pad-small'> <a href='/funds/02x6-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>X02X,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/5am-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>5AM Ventures,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/5square-committed-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>5square Committed Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/808-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>808 Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/83north' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>83North,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/88-green-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>88 Green Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/8vc' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>8VC,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/aaric' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>AARIC,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/accel-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Accel Partners,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/acumen-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Acumen Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/addventure-fund' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Addventure Fund,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/addventure-fund-2' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Addventure Fund,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/ade-fine-art-fund-90' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>ADE Fine Art Fund 90,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/aera-vc' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Aera VC,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/afterwork-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>AfterWork Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/agfunder' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>AgFunder,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/airtree-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>AirTree Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/alchemy-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Alchemy Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/alcor-fund' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Alcor Fund,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/aleph-vc' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Aleph VC,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/allectus-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Allectus Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/ally-bridge-group' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Ally Bridge Group,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/alta-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Alta Partners,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/alto-partners-multi-family-office' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Alto Partners Multi-Family Office,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/alumni-ventures-group' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Alumni Ventures Group,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/andreessen-horowitz' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Andreessen Horowitz,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/anthemis' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Anthemis,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/antler' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Antler Australia,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/ap-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>AP Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/apex-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Apex Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/arc-vc' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Arc VC,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/arcolf-capital-advisors-pvt-ltd' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>ARCOLF CAPITAL ADVISORS PVT LTD,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/arowana-growth-fund' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Arowana Growth Fund,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/arrebol-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Arrebol Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/artesian-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Artesian Venture Partners,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/aspect-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Aspect Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/atech-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Atech Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/atlas-venture' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Atlas Venture,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/atomico-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Atomico Ventures,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/aucific-global-fund' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/august-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>August Capital,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/aura-venture-fund' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Aura Venture Fund,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/austech-founders-fund' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Austech Founders Fund,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/b-capital-group' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>B Capital Group,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/bailador' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Bailador,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/bain-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Bain Capital,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/bain-capital-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Bain Capital Ventures,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/balderton-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Balderton Capital,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/baseline-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Baseline Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/battery-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Battery Ventures,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/belay-capital-pty-limited' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Belay Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/benchmark-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Benchmark Capital,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/bessemer-venture-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Bessemer Venture Partners,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/betaworks' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Betaworks,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/bill-and-melinda-gates-investments' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>BMGI et Cascade Investments,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/bioscience-equity-partners-pty-ltd' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Antisoma Venture Capital Fund,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/bioscience-managers' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Bioscience Managers,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/blackbird-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Blackbird Ventures,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/bloomberg-beta' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Bloomberg Beta,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/blumberg-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Blumberg Capital,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/bluocean' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>BLUOCEAN,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/bmh-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>BMH Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/brandon-capital-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Brandon Capital Partners,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/breakthrough-energy-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Breakthrough Energy Ventures,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/bridgelane-group' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>BridgeLane Group,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/brinc' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Brinc,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/brooklyn-bridge-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Brooklyn Bridge Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/bryant-stibel' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Bryant Stibel,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/business-development-funds' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Business Development funds,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/cadmon' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Cadmon,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/canaan-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Canaan Partners,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/capitalpitch' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>CP Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/cardinia-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Cardinia Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
"list d-pad-small'> <a href='/funds/carmucho-inc' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>CarMucho, Inc.",VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/carthona-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Carthona Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/central-capital-ventura' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Central Capital Ventura,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/cocoon-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Cocoon Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/columbia-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Columbia Capital,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/comval' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Comval,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/connect-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Connect Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/constant-innovation' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Constant Innovation,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/correlation-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Correlation Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/courtside-vc' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Courtside VC,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/craft-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Craft Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/crane-venture-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Crane Venture Partners,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/detroit-venture-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Detroit Venture Partners,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/dexzbitz-ventaure-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>DXX,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/digitaldx-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>DigitalDx Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/divergent-venture-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Divergent Venture Partners,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/draper-fisher-jurvetson' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Draper Fisher Jurvetson,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/dreamoro-ventures-fund-1' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Dreamoro Ventures Fund 1,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/east-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>East Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/edison-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Edison Partners,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/eight-roads' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Eight Roads,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/element-8-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Element 8 Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/elephant-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Elephant Partners,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/ellerston-jaade-growth-fund' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Ellerston JAADE Growth Fund,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/ellerston-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Ellerston Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/embryo-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Embryo Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/emergence-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Emergence Capital,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/entree-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Entree Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/episode1-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Episode1 Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/eqt-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>EQT Ventures,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/equity-venture-partners-evp' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Equity Venture Partners (EVP),VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/era-vc' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Era VC,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/exto-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Exto Partners,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/felicis-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Felicis Ventures,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/ff-venture-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>ff Venture Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/first-round-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>First Round Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/firstmark-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>FirstMark Capital,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/folklore-vc' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Folklore (formerly Tempus Partners),VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/follow-[the]-seed' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Follow [the] Seed,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/forerunner-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Forerunner Ventures,VC - Medium-Sized Fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/formula-vc' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Formula VC,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/forum-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Forum Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/forward-echelon-venture-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>FINX,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/founders-fund' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Founders Fund,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/foundry-group' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Foundry Group,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/fresco-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Fresco Capital,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/frontier-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Frontier Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/fuel-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Fuel Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/full-circle' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Full Circle,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/g2c-venture-partners' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>G2C Venture Partners,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/galileo-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Galileo Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/general-atlantic' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>General Atlantic,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/general-catalyst' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>General Catalyst,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/genesis-alternative-ventures' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Genesis Alternative Ventures,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/ggv-capital' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>GGV Capital,VC - Big fund,,Technology / Venture Capital,Multi-stage,,
list d-pad-small'> <a href='/funds/giant-leap-fund' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Giant Leap Fund,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
list d-pad-small'> <a href='/funds/global-capital-property-fund' class='text-color-1'> <i class='fas fa-user-tie fa-fw r-pad-small'></i>Global Capital Property Fund,VC - Small fund,,Technology / Venture Capital,"Seed, Early Stage",,
